CVE_ID,Commit Message,Links in Message,Link Presence,PATCH,repository,type_of_reporting,first_link_in_message,first_link_type_for_created_date,first_link,mined_link_type,link_created_at,link_created_date_source,link_created_date_status,link_created_date_reason,created_date_kind
CVE-2013-4600,Fixed some XSS problems (github issue #173),https://github.com/alkacon/opencms-core/issues/173,contains links,https://github.com/alkacon/opencms-core/commit/72a05e3ea1cf692e2efce002687272e63f98c14a,alkacon/opencms-core,github issue,https://github.com/alkacon/opencms-core/issues/173,github issue,https://github.com/alkacon/opencms-core/issues/173,github issue,2013-06-13T21:26:01Z,https://api.github.com/repos/alkacon/opencms-core/issues/173,ok,,created_at
CVE-2018-3831,"Apply settings filter to get cluster settings API (#33247)

Some settings have filters applied to them and we use this in logs and
the get nodes info API. For consistency, we should apply this in the get
cluster settings API too.",https://github.com/elastic/elasticsearch/pull/33247,contains links,https://github.com/elastic/elasticsearch/commit/cfe3d9f611a328cfffc18b445b3aecb016349514,elastic/elasticsearch,github pull request,https://github.com/elastic/elasticsearch/pull/33247,github pull request,https://github.com/elastic/elasticsearch/pull/33247,github pull request,2018-08-29T16:33:41Z,https://api.github.com/repos/elastic/elasticsearch/issues/33247,ok,,created_at
CVE-2022-23596,"fix: invalid subheader type would throw npe and make the extract loop

closes #73",https://github.com/junrar/junrar/issues/73,contains links,https://github.com/junrar/junrar/commit/7b16b3d90b91445fd6af0adfed22c07413d4fab7,junrar/junrar,github issue,https://github.com/junrar/junrar/issues/73,github issue,https://github.com/junrar/junrar/issues/73,github issue,2022-01-27T03:29:04Z,https://api.github.com/repos/junrar/junrar/issues/73,ok,,created_at
CVE-2019-16943,More clean up after #2478,https://github.com/FasterXML/jackson-databind/issues/2478,contains links,https://github.com/FasterXML/jackson-databind/commit/54aa38d87dcffa5ccc23e64922e9536c82c1b9c8,FasterXML/jackson-databind,github issue,https://github.com/FasterXML/jackson-databind/issues/2478,github issue,https://github.com/FasterXML/jackson-databind/issues/2478,github issue,2019-09-27T15:44:21Z,https://api.github.com/repos/FasterXML/jackson-databind/issues/2478,ok,,created_at
CVE-2021-37714,"Speed improvement: cap number of cloned active formatting elements

Also saves on memory allocations for empty attribute lists.

Fixes #1613",https://github.com/jhy/jsoup/issues/1613,contains links,https://github.com/jhy/jsoup/commit/d2c455c94a3aaaca29d8cec6bd53ee9824622b51,jhy/jsoup,github issue,https://github.com/jhy/jsoup/issues/1613,github issue,https://github.com/jhy/jsoup/issues/1613,github issue,2021-08-15T02:25:46Z,https://api.github.com/repos/jhy/jsoup/issues/1613,ok,,created_at
CVE-2020-36282,"Use trusted packages in StreamMessage

StreamMessage now uses the same ""white list"" mechanism as
ObjectMessage to avoid some arbitrary code execution on deserialization.

Even though StreamMessage is supposed to handle only primitive types,
it is still to possible to send a message that contains an arbitrary
serializable instance. The consuming application application may
then execute code from this class on deserialization.

The fix consists in using the list of trusted packages that can be
set at the connection factory level.

Fixes #135",https://github.com/rabbitmq/rabbitmq-jms-client/issues/135,contains links,https://github.com/rabbitmq/rabbitmq-jms-client/commit/f647e5dbfe055a2ca8cbb16dd70f9d50d888b638,rabbitmq/rabbitmq-jms-client,github issue,https://github.com/rabbitmq/rabbitmq-jms-client/issues/135,github issue,https://github.com/rabbitmq/rabbitmq-jms-client/issues/135,github issue,2020-11-02T10:38:12Z,https://api.github.com/repos/rabbitmq/rabbitmq-jms-client/issues/135,ok,,created_at
CVE-2017-15696,"GEODE-3962: use function call to get cluster configuration from a locator (#1059)

* GEODE-3962: use function all to retrieve cluster configuration from a locator",https://github.com/apache/geode/pull/1059,contains links,https://github.com/apache/geode/commit/37a897027074d4f160a5f96cd171ac384fa1b6df,apache/geode,github pull request,https://github.com/apache/geode/pull/1059,github pull request,https://github.com/apache/geode/pull/1059,github pull request,2017-11-14T21:40:20Z,https://api.github.com/repos/apache/geode/issues/1059,ok,,created_at
CVE-2019-17572,"[ISSUE #1637]Fix 1637 (#1644)

* fix(broker): add the check logic of the server to the topic

* chore(test):add unit test

* chore(validator):polish the code

* chore(test):add ASF license header",https://github.com/apache/rocketmq/issues/1637; https://github.com/apache/rocketmq/pull/1644,contains links,https://github.com/apache/rocketmq/commit/f8f6fbe4aa7f5dee937e688322628c366b12a552,apache/rocketmq,github issue,https://github.com/apache/rocketmq/issues/1637,github issue,https://github.com/apache/rocketmq/issues/1637,github issue,2019-12-04T13:17:26Z,https://api.github.com/repos/apache/rocketmq/issues/1637,ok,,created_at
CVE-2021-22569,"Improve performance of parsing unknown fields in Java (#9371)

Credit should go to @elharo for most of these Java changes--I am just
cherry-picking them from our internal codebase. The one thing I did
change was to give the UTF-8 validation tests their own Bazel test
target. This makes it possible to give the other tests a shorter
timeout, which is important for UnknownFieldSetPerformanceTest in
particular.",https://github.com/protocolbuffers/protobuf/pull/9371,contains links,https://github.com/protocolbuffers/protobuf/commit/9638a5e5315bf73f5e7148c16181676372321892,protocolbuffers/protobuf,github pull request,https://github.com/protocolbuffers/protobuf/pull/9371,github pull request,https://github.com/protocolbuffers/protobuf/pull/9371,github pull request,2022-01-05T15:01:42Z,https://api.github.com/repos/protocolbuffers/protobuf/issues/9371,ok,,created_at
CVE-2020-7226,"Merge pull request #53 from serac/52-safe-header

Define new ciphertext header format.",https://github.com/vt-middleware/cryptacular/pull/53,contains links,https://github.com/vt-middleware/cryptacular/commit/311baf12252abf21947afd07bf0a0291ec3ec796,vt-middleware/cryptacular,github pull request,https://github.com/vt-middleware/cryptacular/pull/53,github pull request,https://github.com/vt-middleware/cryptacular/pull/53,github pull request,2020-01-23T20:29:18Z,https://api.github.com/repos/vt-middleware/cryptacular/issues/53,ok,,created_at
